2021-09-19 08:59:08,697 - walk - INFO - (sp mode) 第 156 号筛选条件(类别2), 条件范围(09:59:27~09:59:37), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,748 - walk - INFO - (sp mode) 第 162 号筛选条件(类别2), 条件范围(10:02:00~10:02:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,759 - walk - INFO - (sp mode) 第 164 号筛选条件(类别2), 条件范围(10:03:31~10:03:37), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,770 - walk - INFO - (sp mode) 第 166 号筛选条件(类别2), 条件范围(10:04:14~10:04:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,780 - walk - INFO - (sp mode) 第 168 号筛选条件(类别2), 条件范围(10:05:10~10:05:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,786 - walk - INFO - (sp mode) 第 169 号筛选条件(类别2), 条件范围(10:05:28~10:05:31), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,796 - walk - INFO - (sp mode) 第 171 号筛选条件(类别2), 条件范围(10:05:45~10:05:49), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,813 - walk - INFO - (sp mode) 第 173 号筛选条件(类别2), 条件范围(10:06:35~10:06:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,825 - walk - INFO - (sp mode) 第 175 号筛选条件(类别2), 条件范围(10:07:46~10:07:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,836 - walk - INFO - (sp mode) 第 177 号筛选条件(类别2), 条件范围(10:08:06~10:08:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,852 - walk - INFO - (sp mode) 第 180 号筛选条件(类别2), 条件范围(10:11:59~10:12:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,864 - walk - INFO - (sp mode) 第 182 号筛选条件(类别2), 条件范围(10:13:18~10:13:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,875 - walk - INFO - (sp mode) 第 184 号筛选条件(类别2), 条件范围(10:16:25~10:16:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,895 - walk - INFO - (sp mode) 第 188 号筛选条件(类别2), 条件范围(10:20:34~10:20:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,906 - walk - INFO - (sp mode) 第 190 号筛选条件(类别2), 条件范围(10:20:44~10:20:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,918 - walk - INFO - (sp mode) 第 192 号筛选条件(类别2), 条件范围(10:21:48~10:21:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,940 - walk - INFO - (sp mode) 第 196 号筛选条件(类别2), 条件范围(10:22:25~10:22:27), 耗时 0.0 秒, 筛选结果为 0 条数据
