2021-09-19 08:59:08,566 - static - INFO - (sp mode) 第 144 号筛选条件(类别1), 条件范围(09:52:07~09:52:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,571 - static - INFO - (sp mode) 第 145 号筛选条件(类别1), 条件范围(09:52:19~09:52:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,592 - static - INFO - (sp mode) 第 147 号筛选条件(类别1), 条件范围(09:52:30~09:54:24), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,622 - static - INFO - (sp mode) 第 149 号筛选条件(类别1), 条件范围(09:54:28~09:54:34), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,640 - static - INFO - (sp mode) 第 151 号筛选条件(类别1), 条件范围(09:54:39~09:55:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,657 - static - INFO - (sp mode) 第 152 号筛选条件(类别1), 条件范围(09:55:42~09:57:23), 耗时 0.02 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,673 - static - INFO - (sp mode) 第 154 号筛选条件(类别1), 条件范围(09:57:28~09:58:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,692 - static - INFO - (sp mode) 第 155 号筛选条件(类别1), 条件范围(09:58:10~09:59:26), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,710 - static - INFO - (sp mode) 第 157 号筛选条件(类别1), 条件范围(09:59:43~09:59:46), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,724 - static - INFO - (sp mode) 第 158 号筛选条件(类别1), 条件范围(09:59:50~09:59:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,733 - static - INFO - (sp mode) 第 159 号筛选条件(类别1), 条件范围(10:00:06~10:00:34), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,741 - static - INFO - (sp mode) 第 160 号筛选条件(类别1), 条件范围(10:00:35~10:00:40), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,745 - static - INFO - (sp mode) 第 161 号筛选条件(类别1), 条件范围(10:01:19~10:01:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,753 - static - INFO - (sp mode) 第 163 号筛选条件(类别1), 条件范围(10:02:06~10:03:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,764 - static - INFO - (sp mode) 第 165 号筛选条件(类别1), 条件范围(10:03:39~10:04:12), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,775 - static - INFO - (sp mode) 第 167 号筛选条件(类别1), 条件范围(10:04:17~10:05:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,791 - static - INFO - (sp mode) 第 170 号筛选条件(类别1), 条件范围(10:05:32~10:05:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,806 - static - INFO - (sp mode) 第 172 号筛选条件(类别1), 条件范围(10:05:50~10:06:34), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,819 - static - INFO - (sp mode) 第 174 号筛选条件(类别1), 条件范围(10:06:37~10:07:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,831 - static - INFO - (sp mode) 第 176 号筛选条件(类别1), 条件范围(10:07:48~10:08:05), 耗时 0.0 秒, 筛选结果为 0 条数据
