2021-09-18 22:45:40,301 - static - INFO - 
2021-09-18 22:51:15,413 - static - INFO - 
2021-09-18 22:52:41,252 - static - INFO - 
2021-09-18 22:53:07,489 - static - INFO - 
2021-09-18 22:55:07,410 - static - INFO - (sp mode) 第 490 号筛选条件(类别1), 条件范围(15:28:47~15:29:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,415 - static - INFO - (sp mode) 第 492 号筛选条件(类别1), 条件范围(15:29:28~15:29:51), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,422 - static - INFO - (sp mode) 第 494 号筛选条件(类别1), 条件范围(15:29:56~15:29:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,425 - static - INFO - (sp mode) 第 495 号筛选条件(类别1), 条件范围(15:30:05~15:31:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,427 - static - INFO - (sp mode) 第 496 号筛选条件(类别1), 条件范围(15:31:22~15:31:31), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,431 - static - INFO - (sp mode) 第 498 号筛选条件(类别1), 条件范围(15:31:36~15:31:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,432 - static - INFO - (sp mode) 第 499 号筛选条件(类别1), 条件范围(15:31:48~15:32:54), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,438 - static - INFO - (sp mode) 第 501 号筛选条件(类别1), 条件范围(15:33:00~15:33:12), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,441 - static - INFO - (sp mode) 第 502 号筛选条件(类别1), 条件范围(15:33:14~15:33:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,452 - static - INFO - (sp mode) 第 506 号筛选条件(类别1), 条件范围(15:34:08~15:34:15), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,459 - static - INFO - (sp mode) 第 508 号筛选条件(类别1), 条件范围(15:34:19~15:34:21), 耗时 0.0 秒, 筛选结果为 0 条数据
