2021-09-18 22:45:40,301 - log - INFO - 
2021-09-18 22:51:15,412 - log - INFO - 
2021-09-18 22:52:41,249 - log - INFO - 
2021-09-18 22:53:07,488 - log - INFO - 
2021-09-18 22:55:07,320 - log - INFO - (sp mode) 第 444 号筛选条件(类别1, 条件范围(13:48:44~13:50:01)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,323 - log - INFO - (sp mode) 第 445 号筛选条件(类别1, 条件范围(13:50:04~13:50:07)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,326 - log - INFO - (sp mode) 第 446 号筛选条件(类别2, 条件范围(13:50:08~13:50:09)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,328 - log - INFO - (sp mode) 第 447 号筛选条件(类别1, 条件范围(13:50:10~13:56:28)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,331 - log - INFO - (sp mode) 第 448 号筛选条件(类别2, 条件范围(13:56:30~13:56:32)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,333 - log - INFO - (sp mode) 第 449 号筛选条件(类别1, 条件范围(13:56:33~13:57:07)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,335 - log - INFO - (sp mode) 第 450 号筛选条件(类别1, 条件范围(13:57:12~13:57:19)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,337 - log - INFO - (sp mode) 第 451 号筛选条件(类别2, 条件范围(13:57:20~13:57:23)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,339 - log - INFO - (sp mode) 第 452 号筛选条件(类别1, 条件范围(13:57:24~13:57:29)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,341 - log - INFO - (sp mode) 第 453 号筛选条件(类别1, 条件范围(13:57:36~13:57:46)), 耗时 0.0 秒, 筛选结果为 0 条数据
